component_id,name,family,scope,html_selector,js_module,states,responsive_behavior,accessibility,figma_page,sitecore_rendering,status
G-011,Social Icon Link,Global shell,Global,.moxa-social-list a,assets/js/moxa-shell.js,"default;hover;focus","icon row;wrap on narrow screens","accessible platform name","19 — Conversion / CTA, Lead Form & Footer",Social Link,Approved PoC
G-012,Subscription Form,Global shell,Global,.moxa-subscribe-form,assets/js/moxa-shell.js,"default;focus;invalid;success","inline desktop;stacked mobile","label;consent;status message","19 — Conversion / CTA, Lead Form & Footer",Stay Connected Form,Approved PoC
G-013,Locale Selector,Global shell,Global,#moxaLocale,assets/js/moxa-shell.js,"default;focus;selected","footer aligned;full mobile","visible label;default Global / English","19 — Conversion / CTA, Lead Form & Footer",Locale Selector,Approved PoC
G-014,Advisor Launcher,Global shell,Global,.moxa-advisor-launcher,assets/js/moxa-shell.js,"default;hover;focus;expanded","fixed bottom corner","button name;aria-expanded","20 — AI / Ask AI and Moxa Advisor",Advisor Launcher,Approved PoC
G-015,Advisor Panel,Global shell,Global,.moxa-advisor-panel,assets/js/moxa-shell.js,"closed;open;search;compare;validate","side panel desktop;sheet mobile","dialog semantics;close;focus handling","20 — AI / Ask AI and Moxa Advisor",Advisor Panel,Approved PoC
F-001,Button,Actions,Shared,.btn,,"primary;secondary;hero;text × default;hover;focus;active;disabled","content-width;full-width option","44px minimum target;visible focus","10 — Actions / Button & Link",Button,Needs consolidation
F-002,Text Link,Actions,Shared,.home-text-link,,"default;hover;focus;visited","inline;wrap","descriptive copy;visible focus","10 — Actions / Button & Link",Text Link,Approved PoC
F-003,Text Input,Forms,Shared,.moxa-lead-form input,assets/js/moxa-lead-form.js,"default;focus;filled;invalid;disabled","two-column form;single compact","programmatic label;error association","11 — Inputs / Search, Text, Select & Consent",Text Field,Approved PoC
F-004,Search Input,Forms,Shared,.manual-search-input,,"default;focus;filled;results","fluid","search landmark;clear feedback","11 — Inputs / Search, Text, Select & Consent",Search Field,Approved PoC
F-005,Select,Forms,Shared,.moxa-lead-form select,assets/js/moxa-lead-form.js,"default;focus;selected;invalid;disabled","two-column form;single compact","programmatic label;native keyboard","11 — Inputs / Search, Text, Select & Consent",Select Field,Approved PoC
F-006,Textarea,Forms,Shared,.moxa-lead-form textarea,assets/js/moxa-lead-form.js,"default;focus;filled;invalid;disabled","full form width","label;error;character guidance","11 — Inputs / Search, Text, Select & Consent",Textarea Field,Approved PoC
F-007,Consent Checkbox,Forms,Shared,.moxa-lead-consent input,assets/js/moxa-lead-form.js,"unchecked;checked;focus;invalid;disabled","wraps with copy","label wraps;44px interaction area","11 — Inputs / Search, Text, Select & Consent",Consent Field,Approved PoC
F-008,Field Feedback,Forms,Shared,.moxa-lead-error,assets/js/moxa-lead-form.js,"helper;error;success","below field","aria-describedby;status semantics","11 — Inputs / Search, Text, Select & Consent",Field Message,Approved PoC
N-001,Anchor Navigation,Navigation,Shared,.series-a-anchor,,"default;active;sticky","scrollable compact row","active indication not color-only","13 — Navigation / Anchor Nav & Floating Navigator",Anchor Navigation,Approved PoC
N-002,Floating Section Navigator,Navigation,Homepage,.section-rail,,"default;active;hover;focus","fixed desktop;hidden/reduced compact","labeled links;current section","13 — Navigation / Anchor Nav & Floating Navigator",Section Navigator,Approved PoC
N-003,Tabs,Disclosure,Shared,[role=tablist],assets/js/microsite-remote-io.js,"default;hover;focus;selected;disabled","horizontal scroll compact","Arrow/Home/End keys;aria-selected","16 — Disclosure / Accordion, Tabs & Modal",Tabs,Approved PoC
N-004,Accordion,Disclosure,Campaign,.accordion-item,,"closed;open;hover;focus","single column","button semantics;aria-expanded;plus/minus","16 — Disclosure / Accordion, Tabs & Modal",Accordion,Approved PoC
N-005,Modal,Disclosure,Microsite,.rio-modal,assets/js/microsite-remote-io.js,"closed;open","centered dialog;full viewport compact","dialog;Escape;close;focus return","16 — Disclosure / Accordion, Tabs & Modal",Modal,Approved PoC
N-006,Back to Top,Navigation,Shared,.back-to-top,,"hidden;visible;hover;focus","fixed edge","descriptive name;44px target","13 — Navigation / Anchor Nav & Floating Navigator",Back To Top,Approved PoC
C-001,Section Header,Content,Shared,.sec-head,,"left;center × light;dark","responsive max-width","logical heading level","14 — Content / Labels, Badges, Alerts & Section Header",Section Header,Approved PoC
C-002,Badge and Tag,Content,Shared,.state-pill,,"neutral;brand;success;warning;legacy","wrap row","text conveys state","14 — Content / Labels, Badges, Alerts & Section Header",Badge,Approved PoC
C-003,Alert,Content,Shared,.alert,,"info;success;warning;error","fluid","role based on urgency;icon plus text","14 — Content / Labels, Badges, Alerts & Section Header",Alert,Needs consolidation
C-004,Product Card,Cards,Shared,.product-card,,"default;hover;focus;selected","4/3/2/1 column","linked heading;alt text","15 — Cards / Product, Resource, Application & Video",Product Card,Approved PoC
C-005,Resource Card,Cards,Shared,.resource-card,,"default;hover;focus","4/3/2/1 column","resource type and action clear","15 — Cards / Product, Resource, Application & Video",Resource Card,Approved PoC
C-006,Application Card,Cards,Shared,.rio-application-grid article,,"default;hover;focus","2 columns desktop;1 compact","white heading over verified gradient","15 — Cards / Product, Resource, Application & Video",Application Card,Approved PoC
C-007,Video Card,Cards,Video,.video-card,,"default;hover;focus;playing","3/2/1 column","duration;title;thumbnail alt","15 — Cards / Product, Resource, Application & Video",Video Card,Approved PoC
C-008,Metric Card,Cards,Shared,.connectivity-stat,,"rest;counting;complete","3 row desktop;stacked compact","static final value in DOM","15 — Cards / Product, Resource, Application & Video",Metric Card,Approved PoC
C-009,Contact Service Card,Cards,Shared,.moxa-lead-service,assets/js/moxa-lead-form.js,"default","stacked list","heading and description structure","15 — Cards / Product, Resource, Application & Video",Contact Service Card,Approved PoC
D-001,Specification Table,Data,Shared,.spec-table,,"default;sticky-header;scroll","horizontal scroll compact","caption;scope headers","17 — Data / Specification, Comparison & Search Results",Specification Table,Approved PoC
D-002,Comparison Table,Data,AI Compare,.compare-table,,"default;difference-highlight","horizontal scroll compact","caption;row/column headers;source links","17 — Data / Specification, Comparison & Search Results",Comparison Table,Approved PoC
D-003,Search Summary,Data,Search,.search-summary,,"results;zero-results;loading","fluid","result count announced","17 — Data / Specification, Comparison & Search Results",Search Summary,Approved PoC
D-004,Facet Filter,Data,Search,.search-filters,,"checked;unchecked;disabled;zero-count","sidebar desktop;drawer compact","fieldset/legend;counts","17 — Data / Specification, Comparison & Search Results",Facet Filter,Approved PoC
D-005,Search Result Card,Data,Search,.result-card,,"best-match;default;hover;focus","media row desktop;stacked compact","heading link;type label;alt text","17 — Data / Specification, Comparison & Search Results",Search Result Card,Approved PoC
D-006,Product Family Selector,Data,Category,.family-card,,"default;hover;focus;selected","grid responsive","selected state and link purpose","17 — Data / Specification, Comparison & Search Results",Product Family Selector,Approved PoC
D-007,Model Row,Data,Series,.series-a-model-row,,"default;hover;focus;recommended","row desktop;stacked compact","model name as heading;spec labels","17 — Data / Specification, Comparison & Search Results",Model Row,Approved PoC
M-001,Hero Family,Media,Shared,.hero,,"home;category;series;model;campaign;microsite;video;manual;product-media","split or image hero;compact variants","single h1;alt text;CTA order","18 — Media / Hero, Video & 360 Viewer",Hero,Needs variant normalization
M-002,Video Player,Media,Video,.video-player,,"poster;playing;paused;ended","16:9 responsive","native controls;captions guidance","18 — Media / Hero, Video & 360 Viewer",Video Player,Approved PoC
M-003,Playlist Item,Media,Video,.playlist-item,,"default;hover;focus;current","thumbnail row;compact","current item;duration;title","18 — Media / Hero, Video & 360 Viewer",Playlist Item,Approved PoC
M-004,360 Viewer Controls,Media,Product media,.viewer-controls,,"idle;dragging;button;range;keyboard","responsive product stage","keyboard controls;status announcement","18 — Media / Hero, Video & 360 Viewer",Product 360 Viewer,Approved PoC
V-001,CTA Band,Conversion,Shared,.cta-band,,"light;brand;dark","split desktop;stacked compact","heading and ordered actions","19 — Conversion / CTA, Lead Form & Footer",CTA Band,Needs consolidation
V-002,Lead Capture,Conversion,Campaign and Microsite,.moxa-lead-layout,assets/js/moxa-lead-form.js,"default;invalid;submitting;success","aside plus form;stacked compact","labels;errors;consent;status","19 — Conversion / CTA, Lead Form & Footer",Lead Capture,Approved PoC
AI-001,Chat Message,AI,AI Compare,.compare-message,,"user;assistant;system;loading","conversation column","speaker identity;logical order","20 — AI / Ask AI and Moxa Advisor",AI Message,Approved PoC
AI-002,Source References,AI,AI Compare,.compare-sources,,"default;hover;focus","below answer","explicit source title and destination","20 — AI / Ask AI and Moxa Advisor",AI Source Reference,Approved PoC
AI-003,Follow-up Prompt,AI,AI Compare,.compare-followup,,"default;hover;focus","wrap row","button text describes prompt","20 — AI / Ask AI and Moxa Advisor",AI Follow-up Prompt,Approved PoC
